City,lat,lng
AGHIRESU-FABRICI,46.8667,23.2833
ALBA IULIA,46.0669,23.57
AMARA,44.6333,27.3167
ARAD,46.175,21.3125
ARMENIS,45.25,22.3167
BACAU,46.5833,26.9167
BACIU,46.7833,23.5333
BAIA MARE,47.6567,23.5719
BAILE HERCULANE,44.88,22.41
BAILE TUSNAD,46.1525,25.8506
BARLAD,46.2167,27.6667
BECLEAN,47.2987,24.0949
BEIUS,47.0469,21.9344
BELOBRESCA,44.709,21.4567
BICAZ,46.917,26.083
BISTRITA,47.1333,24.5
BIVOLARIA,47.5167,26.4333
BORLOVA,45.4,21.7833
BORSA,47.6553,24.6631
BORSA,47.6556,24.6656
BORSEC,46.9667,25.5667
BOTOSANI,47.7486,26.6694
BRASOV,45.6667,25.6167
BUCURESTI,44.4325,26.1039
BUDAPEST,47.4979,19.0402
BUMBESTI-JIU,45.1833,23.3833
BUZAU,45.1531,26.8208
BUZIAS,45.6442,21.4817
CAMPU LUI NEAG,45.0333,23.1667
CAMPULUNG,45.2678,25.0464
CAMPULUNG,45.2736,25.0519
CARACAL,44.1125,24.3472
CARANSEBES,45.413,22.2207
CAREI,47.6833,22.46667
CICEU-MIHAIESTI,46.7,25.65
CLUJ-NAPOCA,46.7667,23.5833
CODLEA,45.7208,25.3344
COMANESTI,46.4167,26.4333
CONSTANTA,44.1667,28.6333
CONSTANTA,44.1733,28.6383
CORUNCA,46.5667,24.6167
COZMENI,46.3333,25.8833
CRAIOVA,44.3333,23.8167
CRISTESTI,46.4667,24.5667
CRISTURU SECUIESC,46.2931,25.0411
DARABANI,48.1833,26.5833
DEJ,47.0872,23.8053
DETA,45.3911,21.2292
DEVA,45.8781,22.9144
DEVA,45.8568,22.9053
DROPBETA TURNU SEVERIN,44.6333,22.65
DUMBRAVITA,45.7428,21.262
FAGARAS,45.8447,24.9742
FALTICENI,47.4622,26.3044
FLORESTI,46.7475,23.4908
FOCSANI,45.7,27.1797
GALATI,45.4233,28.0425
GHEORGHENI,46.7333,25.6
GHIRODA,45.7864,21.2411
GIROC,45.7403,21.2792
GORNESTI,46.6667,24.6833
HARLAU,47.1667,26.6
HATEG,45.61,22.95
HUNEDOARA,45.7697,22.9203
IASI,47.1622,27.5889
ISALNITA,44.335,23.7544
IZVORUL MURESULUI,46.7419,25.7492
JIBOU,47.2175,23.1214
LETCANI,47.2333,27.5333
LUGOJ,45.7056,21.9258
LUGOJ,45.6883,21.9028
LUPENI,45.3606,23.2383
MACEA,46.1833,21.3833
MARGINA,45.9061,22.2811
MARTINIS,46.2,25.4667
MIERCUREA CIUC,46.3594,25.8017
MIERCUREA NIRAJULUI,46.5958,24.5647
MIOVENI,44.9569,24.9406
MIOVENI,44.95,24.95
MOINESTI,46.4765,26.603
MOISEI,47.6556,24.5883
MOLDOVA NOUA,44.73,22.6511
MOSNITA NOUA,45.7524,21.163
NAVODARI,44.3211,28.6133
NEGRESTI-OAS,47.8572,23.4297
ODORGEIUL SECUIESC,46.3139,25.3017
ONESTI,46.2586,26.7692
ORADEA,47.0722,21.9211
OSICA DE SUS,44.2667,24.3667
OTOPENI,44.5575,26.0806
OVESELU,44.65,24.2667
PETROSANI,45.4167,23.3667
PIATRA NEAMT,46.9275,26.3708
PITESTI,44.8606,24.8678
PITESTI,44.8565,24.8692
PLOIESTI,44.9411,26.0225
POIENILE DE SUB MUNTE,47.7667,24.4667
PRAID,46.5581,25.125
PREDEAL,45.505,25.5769
RADAUTI,47.7585,25.8378
RESITA,45.3008,21.8892
RESITA,45.2981,21.8867
ROMAN,46.93,26.93
ROMAN,46.92,26.93
RUPEA,45.85,25.15
SACALAZ,45.7433,21.1267
SADOVA VECHE,45.0878,21.35
SANGEORGIU DE MURES,46.5667,24.6
SANNICOLAU MARE,46.2153,20.9472
SANPAUL,46.4167,23.9
SANPETRU,45.7078,25.5889
SANSIMION,46.3533,25.8544
SATU MARE,47.79,22.89
SFANTU GHEORGHE,45.8636,25.7875
SIBIU,45.7928,24.1519
SICULENI,46.4833,25.8
SIGHETU MARMATIEI,47.9286,23.8925
SIGHISOARA,46.2167,24.8
SIMLEU SILVANIEI,47.2333,22.8
SINAIA,45.3614,25.5463
SLATINA,44.4297,24.3642
SOVATA,46.5981,25.0798
SUCEAVA,47.6514,26.2556
TARGU FRUMOS,47.1167,27.6
TARGU JIU,45.0342,23.2747
TARGU MURES,46.5456,24.5625
TARGU SECUIESC,45.9667,26.2333
TECUCI,45.85,27.4167
TIMISOARA,45.7597,21.23
TIMISU DE JOS,45.9364,24.9767
TULCEA,45.19,28.8
TUNARI,44.55,26.1167
TURDA,46.5667,23.7833
VARSAG,46.5833,25.35
VLAHA,46.7167,23.45
VOLUNTARI,44.4925,26.1914
VULCAN,45.3833,23.3167
ZABALA,45.8331,25.9128
ZALAU,47.1911,23.0572
ZALAU,47.2,23.05
ZARNESTI,45.55,25.3167
ZETEA,46.3833,25.4333
